,HN,AMP,Amapala,Amapala,,AI,1-------,9401,,,
,HN,ART,Amarateca,Amarateca,,RL,--3-----,0607,,1414N 08722W,
,HN,HAD,Amatillo,Amatillo,CP,RL,-----6--,0901,,1430N 08851W,
,HN,AW4,Apacilagua,Apacilagua,CH,RL,--3-----,1501,,1328N 08704W,
,HN,AZA,Arizona,Arizona,AT,RL,--3-----,0901,,1538N 08719W,
,HN,AHS,Auas,Auas,GD,AI,--34----,0212,,1529N 08420W,
,HN,AZC,Azacuapla,Azacuapla,,RQ,-----6--,1007,,1416N 08845W,
,HN,BRC,Baracoa,Baracoa,CR,RL,--3-----,1301,,1546N 08751W,
,HN,BHG,Brus Laguna,Brus Laguna,,AI,---4----,9601,,,
,HN,BVA,Buena Vista,Buena Vista,CP,RL,--3-----,1401,,1500N 08856W,
,HN,BUF,Búfalo,Bufalo,CR,RL,--3--6--,0501,,1523N 08800W,
,HN,HAN,Caracol,Caracol,CR,RL,-----6--,0901,,1538N 08814W,
,HN,CAA,Catacamas,Catacamas,,AI,---4----,0001,,,
,HN,CDD,Cauquira,Cauquira,,AI,---4----,0001,,,
,HN,CHA,Chamelecón,Chamelecon,CR,RL,-----6--,1201,,1526N 08801W,
,HN,CHI,Chichicaste,Chichicaste,LP,RL,--3-----,1101,,1419N 08755W,
,HN,CHO,Choloma,Choloma,,RQ,--3-----,9501,,,
,HN,CHT,Choluteca,Choluteca,,RL,--3-----,0201,,1317N 08711W,
,HN,CHU,Chumbagua,Chumbagua,SB,RL,--3-----,0307,,1514N 08830W,
,HN,CFR,Cofradia,Cofradia,CR,RQ,--3-----,0901,,1524N 08809W,
,HN,COF,Cofradía,Cofradia,OL,RL,--3-----,0401,,1452N 08602W,
,HN,CMY,Comayagua,Comayagua,,RL,--34----,0207,XPL,1427N 08738W,
,HN,COM,Comayagüela,Comayaguela,,RL,--3-----,0207,,1405N 08712W,
,HN,COR,Concordia,Concordia,IN,RL,--3-----,0901,,1406N 08818W,
,HN,RUY,Copán,Copan,,AI,---4----,0212,,1450N 08909W,
,HN,HAC,Corinto,Corinto,CR,RL,-----6--,0901,,1535N 08822W,
,HN,ENQ,Coronel E Soto Cano Ab,Coronel E Soto Cano Ab,,AI,---4----,0001,,,
,HN,CYL,Coyoles,Coyoles,,AI,---4----,0001,,,
,HN,CUY,Cuyamapa,Cuyamapa,YO,RL,--3-----,0307,,1517N 08729W,
,HN,CUL,Cuyamel,Cuyamel,CR,RL,-----6--,1107,,1540N 08812W,
,HN,DNL,Danlí,Danli,,RL,--3-----,0607,,1402N 08634W,
,HN,ELC,El Calán,El Calan,CR,RL,--3-----,0407,,1523N 08801W,
,HN,ECH,El Chile,El Chile,CR,RQ,--3-----,1007,,1548N 08753W,
,HN,EMO,El Mochito,El Mochito,SB,RL,--3-----,0901,,1452N 08805W,
,HN,ENO,El Negrito,El Negrito,YO,RL,--3-----,1107,,1519N 08742W,
,HN,OCO,El Ocotillo,El Ocotillo,YO,RL,--3-----,1201,,1511N 08704W,
,HN,EPO,El Paraiso,El Paraiso,EP,RQ,--3-----,0901,,1351N 08633W,
,HN,ELR,El Porvenir,El Porvenir,CH,RL,--3-----,1601,,1320N 08703W,
,HN,EPY,El Poy,El Poy,OC,RQ,--3-----,0901,,1422N 08912W,
,HN,PRO,El Progreso,El Progreso,YO,RL,-23-----,0407,,1524N 08748W,
,HN,RIZ,El Tizatillo,El Tizatillo,FM,RL,-----6--,1201,,1359N 08711W,
,HN,HAM,El Zamorano,El Zamorano,FM,RL,-----6--,0901,,1401N 08702W,
,HN,EDQ,Erandique,Erandique,,AI,---4----,0001,,,
,HN,GAC,Gracias,Gracias,,AI,---4----,0001,,,
,HN,GUO,Gualaco,Gualaco,,AI,---4----,0001,,,
,HN,GJA,Guanaja,Guanaja,,AI,1--4----,9601,,,
,HN,HNN,Henecan,Henecan,,AI,1-------,9401,,,
,HN,ITB,Intibucá,Intibuca,IN,RL,--3-----,1101,,1419N 08810W,
,HN,IRN,Iriona,Iriona,,AI,---4----,0001,,,
,HN,4IS,Isleta,Isleta,CL,RL,--3-----,1307,,1534N 08610W,
,HN,JDO,Jesus de Otoro,Jesus de Otoro,IN,RQ,--3-----,0901,,1429N 08758W,
,HN,JUT,Juticalpa,Juticalpa,,AI,---4----,0001,,,
,HN,LCE,La Ceiba,La Ceiba,,AI,1--4----,9601,,,
,HN,LTD,La Entrada,La Entrada,CP,RL,-----6--,1607,,1503N 08844W,
,HN,LEZ,La Esperanza,La Esperanza,,AI,---4----,0001,,,
,HN,HAA,La Flecha,La Flecha,SB,RL,-----6--,0901,,1517N 08829W,
,HN,LLM,La Lima,La Lima,,RL,--3-----,0201,,1525N 08755W,
,HN,LMA,La Masica,La Masica,CR,RL,--3-----,0901,,1503N 08801W,
,HN,HAE,La Paz,La Paz,EP,RL,-----6--,0901,,1336N 08706W,
,HN,LUI,La Union,La Union,,AI,---4----,9601,,,
,HN,LLH,Las Limas,Las Limas,,AI,---4----,0001,,,
,HN,LVS,Las Vegas,Las Vegas,SB,RL,--3-----,1101,,1452N 08804W,
,HN,LMH,Limon,Limon,,AI,---4----,0001,,,
,HN,MRJ,Marcala,Marcala,,AI,---4----,0001,,,
,HN,CTG,Marcovia,Marcovia,CH,RL,--3-----,1601,,1317N 08718W,
,HN,MON,Monjarás,Monjaras,CH,RL,-----6--,1201,,1312N 08722W,
,HN,MZN,Morazán,Morazan,,RL,--3-----,0607,,1519N 08736W,
,HN,NA6,Nacaome,Nacaome,VA,RL,--3-----,1501,,1332N 08729W,
,HN,NAC,Naco,Naco,SB,RL,--3-----,0307,,1523N 00014W,
,HN,4NC,Namasigue,Namasigue,CH,RL,--3-----,1501,,1312N 08708W,
,HN,NOC,Nueva Ocotepeque,Nueva Ocotepeque,OC,RL,--3-----,0901,,1426N 08911W,
,HN,HAF,Ocotepeque,Ocotepeque,OC,RL,-----6--,0901,,1426N 08911W,
,HN,OAN,Olanchito,Olanchito,,AI,---4----,9601,,,
,HN,OMO,Omoa,Omoa,CR,RL,1-------,0901,,1546N 08802W,
,HN,PCH,Palacios,Palacios,,AI,---4----,0001,,,
,HN,PDV,Paso de Velas,Paso de Velas,VA,RL,--3-----,1401,,1326N 08733W,
,HN,HAB,Pimienta,Pimienta,CM,RL,-----6--,0901,,1451N 08730W,
,HN,PIM,Pimienta,Pimienta,CR,RL,--3-----,0901,,1517N 08758W,
,HN,PAJ,Pinalejo,Pinalejo,SB,RL,--3-----,1107,,1454N 08818W,
,HN,PTC,Potrerillos,Potrerillos,CR,RL,--3-----,1307,,1514N 08758W,
,HN,PTL,Potrerillos,Potrerillos,,RL,--3-----,0201,,1400N 08646W,
,HN,PCA,Puerto Castilla,Puerto Castilla,,RQ,1-------,9506,,,
,HN,PCR,Puerto Cortés,Puerto Cortes,,AI,1---5---,9401,,,
,HN,PEU,Puerto Lempira,Puerto Lempira,,AI,---4----,9601,,,
,HN,HAG,Quimistan,Quimistan,SB,RL,-----6--,0901,,1521N 08824W,
,HN,BJA,Rio Bijao,Rio Bijao,,RL,-----6--,1107,,1543N 08756W,
,HN,HAH,Rio Blanquito,Rio Blanquito,CR,RL,-----6--,0901,,1544N 08754W,
,HN,RLD,Rio Lindo,Rio Lindo,,RL,-----6--,0901,,1501N 08758W,
,HN,RTB,Roatán,Roatan,,AI,1--4----,0212,,1618N 08633W,
,HN,RIO,Río Nance,Rio Nance,CR,RL,--3-----,0407,,1540N 08754W,
,HN,SGD,Sabanagrande,Sabanagrande,FM,RL,--3-----,0901,,1348N 08715W,
,HN,SLM,Salamar,Salamar,,RL,0-------,9811,,,
,HN,VBS,San Buenaventura,San Buenaventura,FM,RL,--3-----,1707,,1354N 08712W,
,HN,SET,San Esteban,San Esteban,,AI,---4----,0001,,,
,HN,SFY,San Francisco de Yojoa,San Francisco de Yojoa,CR,RL,--3-----,0901,,1501N 08758W,
,HN,HAL,San Ignacio,San Ignacio,FM,RL,-----6--,0901,,1439N 08702W,
,HN,SJR,San Jerónimo,San Jeronimo,CH,RL,--3-----,1401,,1310N 08708W,
,HN,XZQ,San Juan de Flores,San Juan de Flores,FM,RL,--3-----,1501,,1416N 08702W,
,HN,SLO,San Lorenzo,San Lorenzo,,RQ,1-------,9506,,,
,HN,SMH,San Manuel,San Manuel,CR,RL,--3-----,1101,,1520N 08755W,
,HN,SMA,San Marcos,San Marcos,SB,RL,--3-----,1101,,1518N 08825W,
,HN,SMC,San Marcos de Colón,San Marcos de Colon,CH,RQ,--3-----,0901,,1325N 08648W,
,HN,SAP,San Pedro Sula,San Pedro Sula,,AI,1--45---,9601,,,
,HN,SDY,Santa Ana de Yusguare,Santa Ana de Yusguare,CH,RL,--3-----,1101,,1318N 08706W,
,HN,SBA,Santa Barbara,Santa Barbara,,RL,--3-----,0607,,1455N 08814W,
,HN,HAI,Santa Cruz de Yojoa,Santa Cruz de Yojoa,CR,RL,-----6--,0901,,1459N 08754W,
,HN,SLA,Santa Lucía,Santa Lucia,FM,RL,--3-----,1707,,1406N 08707W,
,HN,SAN,Santa Rita,Santa Rita,YO,RL,--3-----,0507,,1512N 08753W,
,HN,SRI,Santa Rita,Santa Rita,LE,RL,--3--6--,0501,,1402N 08832W,
,HN,SDH,Santa Rosa de Copán,Santa Rosa de Copan,,AI,---4----,0212,,1446N 08847W,
,HN,STP,Siguatepeque,Siguatepeque,,RL,--3-----,0607,,1435N 08750W,
,HN,SIN,Sinuapa,Sinuapa,,RL,--3-----,0607,,1427N 08911W,
,HN,SON,Sonaguera,Sonaguera,CL,RL,--3-----,1201,,1538N 08620W,
,HN,HAJ,Sula,Sula,SB,RL,-----6--,0901,,1515N 08834W,
,HN,SCD,Sulaco,Sulaco,,AI,---4----,0001,,,
,HN,TGA,Talanga,Talanga,,RL,--3-----,0601,,1424N 08705W,
,HN,HAK,Tamara,Tamara,FM,RL,-----6--,0901,,1409N 08720W,
,HN,TGU,Tegucigalpa,Tegucigalpa,,AI,1--45---,9601,,,
,HN,TEA,Tela,Tela,,AI,1--4----,9601,,,
,HN,TCF,Tocoa,Tocoa,,AI,---4----,9601,,,
,HN,HAO,Trinidad,Trinidad,SB,RL,-----6--,0901,,1508N 08814W,
,HN,TJI,Trujillo,Trujillo,,AI,1--4----,9601,,,
,HN,UII,Utila,Utila,,AI,---4----,9601,,,
,HN,VDJ,Valle de Jamastrán,Valle de Jamastran,EP,RL,--3-----,1801,,1400N 08625W,
,HN,VDA,Valle de Ángeles,Valle de Angeles,CM,RL,--3-----,0507,,1430N 08738W,
,HN,VDZ,Valle del Zamorano,Valle del Zamorano,FM,RQ,--3-----,0907,,1400N 08701W,
,HN,VTA,Victoria,Victoria,,AI,---4----,0001,,,
+,HN,VAA,Villa de San Antonio,Villa de San Antonio,CM,RL,--3-----,1907,,1419N 08737W,
,HN,VLN,Villa Nueva,Villa Nueva,,QQ,0-------,,,,
,HN,VNA,Villanueva,Villanueva,CR,RL,-23-----,0307,,1519N 08800W,
,HN,YAR,Yarumela,Yarumela,CM,RL,--3-----,1201,,1420N 08738W,
,HN,YOR,Yoro,Yoro,YO,RL,--34----,0607,,1508N 08708W,
,HN,ZBN,Zambrano,Zambrano,FM,RL,--3-----,1601,,1416N 08724W,
,HN,ZMR,Zambrano,Zambrano,SB,RL,--3-----,1801,,1507N 08839W,
